id,remoteId,createdAt,text,pageId
7025,114660265281161_2132533906827110,"2019-03-01 03:08:33","Гос номера у частников будут стоить 2000 рублей

Подробнее: https://drom.ru/s/w5n",1
7024,114660265281161_2132613793485788,"2019-03-01 04:24:23","КАМАЗ уже год снимает своих красивых работниц

Смотрите фото: https://drom.ru/s/oZF",1
7023,114660265281161_2132703880143446,"2019-03-01 06:10:44","UAZ Patriot получил спецверсию с салатовым цветом кузова

Подробнее: https://drom.ru/s/48m",1
7022,114660265281161_2132747493472418,"2019-03-01 07:02:23","С обновлением Renault Duster его минимальная цена перевалила за 700 000 рублей

Подробнее: https://drom.ru/s/Qwl",1
7021,114660265281161_2132804986800002,"2019-03-01 08:02:18","Почему Hyundai не может уделать KIA? Выясняем на примере обновлённой Элантры

Читайте на сайте: https://drom.ru/s/Sgj",1
7020,114660265281161_2132857540128080,"2019-03-01 09:01:26","#объявадня 
ЗИЛ-41047, 1988 год 
15 999 000 ₽ 
⠀ 
Всю информацию можете найти на сайте — https://drom.ru/s/VEh",1
7019,114660265281161_2133127660101068,"2019-03-01 13:01:18","Девушка жалуется спутнику на неполадки в своем автомобиле.",1
7018,114660265281161_2133962330017601,"2019-03-02 02:17:13","Помните ДТП с БТРами? Вот как это было!

Смотрите видео: https://drom.ru/s/gLt",1
7017,114660265281161_2134739789939855,"2019-03-02 14:36:32","Чудо спасло пассажиров мопеда во Вьетнаме от верной смерти.",1
7016,114660265281161_2134742456606255,"2019-03-02 14:39:05","Грузовое судно из Владивостока врезалось в мост в Пусане — корейские СМИ сообщают, что капитан был пьян! Судно водоизмещением 6 тысяч тонн врезалось в участок между опорами моста, получив значительные повреждения и пробив в мосту дыру размером 5 на 5 метров. Морская полиция эвакуировала аварийное судно, движение по мосту перекрыто. Никто не пострадал.",1
7015,114660265281161_2135713199842514,"2019-03-03 07:14:47","Концерт рок-группы внутри Honda N-VAN? Загружаем гитару, басуху и ударную установку!

Читайте на сайте: https://drom.ru/s/oQn",1
7014,114660265281161_2135790086501492,"2019-03-03 08:30:28","По Аляске на доме на колёсах до Ледовитого Океана. 3700 км за неделю

Новые заметки об автопутешествии по ссылке: https://drom.ru/s/RDV",1
7013,114660265281161_2135857499828084,"2019-03-03 09:46:44","#объявадня 
Mercedes-Maybach S450 4MATIC, 2017 год 
8 850 000 ₽ 
⠀ 
Всю информацию можете найти на сайте — https://drom.ru/s/FMF",1
7012,114660265281161_2136058703141297,"2019-03-03 13:14:53","Tesla начала продажи бюджетной версии Model 3

Подробнее: https://drom.ru/s/V2n",1
