id,remoteId,createdAt,caption,mediaType,mediaUrl,accountId
424,"1,78521358123634E+016",2019-03-01 14:25:49,"На Камском автозаводе отметили первую годовщину проекта «ZAVODчанки», в рамках которого пресс-служба компании выискивает в подразделениях завода красивых девушек и фотографирует их.
⠀
«Первый выпуск проекта, главными героинями которого стали девушки с производств «КАМАЗа», вышел 14 февраля 2018 года. За это время участие в проекте приняли 44 девушки из 11 заводов и подразделений компании. На создание выпусков затрачено свыше 200 часов рабочего времени. Сделано более 40 тысяч фотоснимков. Отснят видеоматериал продолжительностью в 100 часов», — сообщает пресс-служба автогиганта.
⠀
Утверждается, что проект очень понравился публике, что благотворно сказывается на имидже «КАМАЗа».",CAROUSEL_ALBUM,https://scontent.xx.fbcdn.net/v/t51.2885-15/52810530_559806747854383_4670009597257509254_n.jpg?_nc_cat=111&_nc_oc=AQkGljQM9aI0zL-hYXxvagjUeI8cb5kty09Hylj-KISRbr4r1rVFhXx5AwLJTm8-6l0&_nc_ht=scontent.xx&oh=5ed10bca4aa4a055aa636532ebf4d5fc&oe=5DCAFAE3,1
423,"1,79748124452109E+016",2019-03-01 19:01:41,"#объявадня
ЗИЛ-41047, 1988 год
15 999 000 ₽
⠀
Ссылку на объявление ищите в Stories.",CAROUSEL_ALBUM,https://scontent.xx.fbcdn.net/v/t51.2885-15/52971485_127380841655032_1688715133331531994_n.jpg?_nc_cat=102&_nc_oc=AQk8xEG4ZresmbPcSlTcw3DRisrGdSJqFwpN1qeRytRE7e3eq2VkK28ombv2zqLBZ8U&_nc_ht=scontent.xx&oh=b0692d749827d58abcf6a2b22211a7cc&oe=5DD5AF6D,1
422,"1,8022841194118E+016",2019-03-01 23:03:38,Девушка жалуется спутнику на неполадки в своем автомобиле.,VIDEO,https://scontent.xx.fbcdn.net/v/t50.2886-16/53601971_146336796387514_7030023553602384828_n.mp4?_nc_cat=105&_nc_oc=AQkc0lbT39JBJNpALmXt5ia0Wq7kt7eox6GK1u9WQJOp4344X5MQs7dq8aZrfgC6bv4&_nc_ht=scontent.xx&oh=799e1847991eec3db22a4c55ec484b13&oe=5DC7B3C3,1
421,"1,80404890750623E+016",2019-03-03 19:46:55,"#объявадня
Mercedes-Maybach S450 4MATIC, 2017 год
8 850 000 ₽
⠀
Ссылку на объявление ищите в Stories.",CAROUSEL_ALBUM,https://scontent.xx.fbcdn.net/v/t51.2885-15/52348587_326794821286328_8679489173288036960_n.jpg?_nc_cat=107&_nc_oc=AQljVhMOZbZcKZJP7GtsAO7CUyKOcKQcledDgQkooybSAWADKFPFUefEe3YDO7CD_yU&_nc_ht=scontent.xx&oh=e73411d853bca52ae2eef56d15ff44aa&oe=5DD16C16,1
420,"1,80398635990058E+016",2019-03-04 00:02:46,"Недавно мы публиковали видео из Сингапура, на котором из-за дорожного конфликта водитель грузовичка толкнул велосипедиста машиной на разделительную полосу. Вот еще одно видео из этой страны: здесь уже другие водитель грузовика и велосипедист не поделили дорогу, но в этот раз получил водитель. Похоже, у них там какая-то война.",VIDEO,https://scontent.xx.fbcdn.net/v/t50.2886-16/53730787_2237304893195743_1167114797284657860_n.mp4?_nc_cat=109&_nc_oc=AQnqMf2jbSku05EEmssZPzwNfCZWtv8_PesSVDiWoiaukEmbwNjZvo81vB_Web4YIto&_nc_ht=scontent.xx&oh=37eaa133fa7c228f98747d91a029b61a&oe=5DD24D41,1
419,"1,8009477349145E+016",2019-03-04 16:02:31,"#объявадня
Pontiac Firebird, 1997 год
1 000 000 ₽
⠀
Ссылку на объявление ищите в Stories.",CAROUSEL_ALBUM,https://scontent.xx.fbcdn.net/v/t51.2885-15/52303413_821034911568624_5328098831198605853_n.jpg?_nc_cat=101&_nc_oc=AQm_z5ZIaW6rr5hUHgHU5Te0O4W4iURMXryDMI70siQ7Yyq3wOmOJiEBIUsHVu85YDw&_nc_ht=scontent.xx&oh=93941947d909a55599903332b1649a17&oe=5DC893C8,1
418,"1,79661350322366E+016",2019-03-05 00:01:22,ЖЕНЯ,VIDEO,https://scontent.xx.fbcdn.net/v/t50.2886-16/53735503_362263884362949_8939040262609316964_n.mp4?_nc_cat=111&_nc_oc=AQn-GOURocANsQDnzadH2MnuelexGtzkyL7BlGqdEfh-yAK-fus6qfYDq9D5dcHE-Mo&_nc_ht=scontent.xx&oh=19d9ec4a823474dde59cb0e482c34083&oe=5DCA4F79,1
417,"1,7931896227276E+016",2019-03-05 12:32:07,"Итальянская дизайнерская компания GFG Style разработала и построила к международному автосалону в Женеве необычный суперкар Kangaroo («кенгуру»).
⠀
Облик GFG Kangaroo выполнен по традиционным суперкаровским канонам — низкая крыша, приземистый силуэт, динамичный профиль. Но на самом деле этот автомобиль хорошо подготовлен для езды по бездорожью — у него регулируемая подвеска, которая имеет три режима: Racing (клиренс 140 мм), Road (190 мм) и Off-Road (260 мм).
⠀
Несущая структура и все наружные панели кузова Kangaroo ради снижения веса выполнены из углепластика. В движение автомобиль приводит полностью электрическая силовая установка, которую составляют два двигателя (по одному на ось) совокупной мощностью 360 кВт (483 л.с.) и литий-ионная батарея емкостью 90 кВт*ч. На одном заряде батареи машина может проехать до 450 километров. С нуля до 100 км/ч GFG Kangaroo рагоняется всего за 3,8 секунды, максимальная скорость суперкара ограничена на уровне 250 км/ч. Привод — постоянный полный. Силовая установка разработана в сотрудничестве с китайской инжиниринговой компанией CH Auto.
⠀
Kangaroo — это не просто ходовой, это полностью рабочий прототип. Однако о возможности его тиражирования в производстве пока ничего не сообщается.
⠀
Как вам новинка? Для рыбалки пойдёт?",CAROUSEL_ALBUM,https://scontent.xx.fbcdn.net/v/t51.2885-15/51870119_625588707865662_4297244993302327032_n.jpg?_nc_cat=105&_nc_oc=AQmhhna8UHPBY3kTWDZieFlwBV6Bg36VAl5QfBBf8EoN8VPRu34ie9sFZ4_n0wwOvxc&_nc_ht=scontent.xx&oh=6d19e4e15690b69a9c4303b4db9d0640&oe=5DCF6F0C,1
416,"1,80211196501211E+016",2019-03-05 14:30:32,"#объявадня
Toyota Mark II, 1997 год
1 100 000 ₽
⠀
Ссылку на объявление ищите в Stories.",CAROUSEL_ALBUM,https://scontent.xx.fbcdn.net/v/t51.2885-15/51807997_407968156644400_7494558979702789471_n.jpg?_nc_cat=103&_nc_oc=AQmWJVk1rRh_FFH9mEbO6SucobL-wlnik2h5amqaR23wFn2K3pPNNEBi-cVO3Zh8IXE&_nc_ht=scontent.xx&oh=89d12706b33eeaf602a3825715754a1f&oe=5DD0E66E,1
415,"1,79222454073051E+016",2019-03-06 13:37:44,"Французская компания Bugatti представила на Женевском автосалоне суперкар, созданный по мотивам классического купе Type 57 SC Atlantic Жана Бугатти середины 30-х годов прошлого столетия.
⠀
Машина оснащена ультрасовременной оптикой с большим количеством светодиодных элементов, уникальным лобовым стеклом, которое плавно перетекает в боковые, а также шестиствольным выхлопом. Шасси и внешние кузовные панели изготовлены из углепластика.
⠀
Поскольку La Voiture Noire построен в единственном экземпляре, все его элементы были изготовлены вручную. Кстати, французы решили не показывать интерьер автомобиля журналистам и спрятали его от посторонних камер за зеркальной тонировкой.
⠀
Под капотом у La Voiture Noire располагается 8,0-литровый W16 с квартетом турбин, его мощность составляет 1500 л.с.
⠀
La Voiture Noire еще не успели представить публике, как её уже выкупил один из частных коллекционеров. Официально его имя держится в тайне, но, по данным зарубежных коллег, им стал сам экс-руководитель Volkswagen Group Фердинанд Пиех, который, согласно слухам, заплатил за него 11 миллионов евро.",CAROUSEL_ALBUM,https://scontent.xx.fbcdn.net/v/t51.2885-15/52851243_613905882413550_5212548386930899859_n.jpg?_nc_cat=100&_nc_oc=AQnoK_VgoseZopH3zbiVYCbcsOAXkRN1-B3NHZYRCgGNz-62ek8PLWYIeBYPgzfaOyE&_nc_ht=scontent.xx&oh=7b2d38271476561caf1cbe8ca0fb7895&oe=5DC81CD4,1
